"BehaviorSpace results (NetLogo 6.2.0)"
"/home/h2/s1426633/IPS-SPREADS-2-4-MM.nlogo"
"UPS3"
"08/04/2022 10:01:09:381 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","sanitation-felling","path-to-input","[step]","nhost1","nhost2","nhost3","prima1","prima2","prima3","count spruce","ncut1","ncut2","ncut3"
"5","50","input/1614/","22310","3","0","0","3.3551810237203497","3.3451935081148565","0","1602","3","0","0"
"6","50","input/1614/","19493","3","0","0","3.3551810237203497","3.3451935081148565","0","1602","3","0","0"
"4","50","input/1614/","22894","3","0","0","3.3551810237203497","3.3451935081148565","0","1602","3","0","0"
"1","50","input/1614/","21102","3","0","0","3.3551810237203497","3.3451935081148565","0","1602","3","0","0"
"8","50","input/1614/","21821","3","0","0","3.355805243445693","3.3451935081148565","0","1602","3","0","0"
"2","50","input/1614/","24672","3","0","0","3.3526841448189764","3.3414481897627963","0","1602","4","0","0"
"7","50","input/1614/","22345","3","0","0","3.355805243445693","3.3451935081148565","0","1602","3","0","0"
"10","50","input/1614/","22677","3","0","0","3.355805243445693","3.3451935081148565","0","1602","3","0","0"
"3","50","input/1614/","19291","3","0","0","3.355805243445693","3.3451935081148565","0","1602","3","0","0"
"9","50","input/1614/","20506","3","0","0","3.3551810237203497","3.3451935081148565","0","1602","3","0","0"
"11","50","input/1632/","8127","0","0","0","4.2239782016348775","0","0","1835","1","0","0"
"16","50","input/1632/","8158","0","0","0","4.2239782016348775","0","0","1835","1","0","0"
"13","50","input/1632/","8161","0","0","0","4.22724795640327","0","0","1835","0","0","0"
"12","50","input/1632/","8117","0","0","0","4.22724795640327","0","0","1835","0","0","0"
"14","50","input/1632/","8158","0","0","0","4.2239782016348775","0","0","1835","1","0","0"
"15","50","input/1632/","8113","0","0","0","4.22724795640327","0","0","1835","0","0","0"
"18","50","input/1632/","8115","0","0","0","4.2239782016348775","0","0","1835","1","0","0"
"17","50","input/1632/","8125","0","0","0","4.22724795640327","0","0","1835","0","0","0"
